,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
1881,2018-10-08,33.13999938964844,33.13999938964844,32.029998779296875,32.599998474121094,295000,0,0,ECPG,Finance,Finance Companies,-0.016294536073407945,0.03822778967346184,-0.013875007901398142
1882,2018-10-09,32.650001525878906,32.650001525878906,31.940000534057617,32.220001220703125,371700,0,0,ECPG,Finance,Finance Companies,-0.013169993417456848,-0.016422378376141408,-0.01331912059782823
1883,2018-10-10,32.22999954223633,32.40999984741211,30.959999084472656,31.01000022888184,374300,0,0,ECPG,Finance,Finance Companies,-0.037852911283964515,-0.01635883253033604,-0.034459598090505854
1884,2018-10-11,30.899999618530277,31.38999938964844,30.530000686645508,30.59000015258789,308100,0,0,ECPG,Finance,Finance Companies,-0.010032345299981305,0.01831014418443969,-0.00987790483588485
1885,2018-10-12,30.940000534057617,30.940000534057617,29.96999931335449,30.059999465942383,242800,0,0,ECPG,Finance,Finance Companies,-0.028442180120409548,-0.003931780887250844,-0.028515116679206115
1886,2018-10-15,30.06999969482422,30.459999084472656,29.8700008392334,30.040000915527344,340400,0,0,ECPG,Finance,Finance Companies,-0.0009976315131801788,-0.01089060899608124,0.0007064600308547591
1887,2018-10-16,30.170000076293945,30.549999237060547,29.88999938964844,30.3799991607666,263700,0,0,ECPG,Finance,Finance Companies,0.006960526481326159,0.008200237398172456,0.007707592069926609
1888,2018-10-17,30.26000022888184,30.26000022888184,29.280000686645508,29.96999931335449,362600,0,0,ECPG,Finance,Finance Companies,-0.009583638907264705,-0.005255076441198827,-0.008945021769503802
1889,2018-10-18,29.8799991607666,30.049999237060547,28.780000686645508,28.82999992370605,375300,0,0,ECPG,Finance,Finance Companies,-0.03514053770253224,-0.012594466569723954,-0.03406251076666215
1890,2018-10-19,28.81999969482422,29.700000762939453,28.81999969482422,29.479999542236328,408100,0,0,ECPG,Finance,Finance Companies,0.02290075830676149,0.008872945245731543,0.01622932354912325
1891,2018-10-22,29.479999542236328,29.82999992370605,28.239999771118164,28.25,329100,0,0,ECPG,Finance,Finance Companies,-0.041723187290898495,-0.005889010318138264,-0.03498484678705608
1892,2018-10-23,27.93000030517578,28.31999969482422,27.420000076293945,27.549999237060547,353400,0,0,ECPG,Finance,Finance Companies,-0.013605480270790237,0.00508980157482094,-0.010203008811453165
1893,2018-10-24,27.59000015258789,27.75,25.86000061035156,25.88999938964844,513800,0,0,ECPG,Finance,Finance Companies,-0.0616165550394168,-0.018360666050376114,-0.05782955491094115
1894,2018-10-25,26.0,27.190000534057617,26.0,27.11000061035156,481400,0,0,ECPG,Finance,Finance Companies,0.042692331167367654,0.0066118252142266685,0.04183282031147481
1895,2018-10-26,26.75,27.26000022888184,26.1200008392334,26.86000061035156,476300,0,0,ECPG,Finance,Finance Companies,0.004112172349590989,0.023486477717457443,0.004640781996407684
1896,2018-10-29,27.15999984741211,27.31999969482422,26.170000076293945,26.18000030517578,340000,0,0,ECPG,Finance,Finance Companies,-0.03608245757518683,0.022449754020274205,-0.0345420425121439
1897,2018-10-30,26.21999931335449,26.440000534057617,25.13999938964844,26.190000534057617,801600,0,0,ECPG,Finance,Finance Companies,-0.0011441182335040082,-0.002261258369971996,-0.00038374128951814497
1898,2018-10-31,26.489999771118164,26.790000915527344,25.26000022888184,25.40999984741211,580800,0,0,ECPG,Finance,Finance Companies,-0.04077009939741751,-0.014687439466767838,-0.037256451820610374
1899,2018-11-01,25.559999465942383,27.040000915527344,25.209999084472656,27.030000686645508,461700,0,0,ECPG,Finance,Finance Companies,0.05751178604920706,0.008768141193496184,0.055488079382396076
1900,2018-11-02,27.190000534057617,27.239999771118164,26.3700008392334,26.799999237060547,291300,0,0,ECPG,Finance,Finance Companies,-0.014343556062404741,-0.0015624870423785555,-0.014568289557769908
1901,2018-11-05,26.8700008392334,27.190000534057617,26.059999465942383,26.540000915527344,316500,0,0,ECPG,Finance,Finance Companies,-0.012281351447678987,-0.012259379561248295,-0.01167340655262738
1902,2018-11-06,26.46999931335449,27.100000381469727,26.15999984741211,27.06999969482422,278600,0,0,ECPG,Finance,Finance Companies,0.022667185380961512,-0.007625067004060709,0.022277514153933926
1903,2018-11-07,27.229999542236328,27.290000915527344,25.86000061035156,26.21999931335449,558800,0,0,ECPG,Finance,Finance Companies,-0.0370914522901564,0.009993450237869492,-0.035685785160422076
1904,2018-11-08,24.86000061035156,26.399999618530277,24.0,24.13999938964844,977000,0,0,ECPG,Finance,Finance Companies,-0.028962236646257907,0.025300361306678013,-0.02729881770927237
1905,2018-11-09,24.040000915527344,25.3799991607666,23.59000015258789,25.270000457763672,774600,0,0,ECPG,Finance,Finance Companies,0.05116470446728961,-0.014754739705743146,0.0478832672280914
